#rank,UTF8,SJIS,EUCJP
1,E5A4B1,BCBA,8EB8
1,E5AF9F,BBA1,8E40
1,E8A995,C9BE,955D
1,E5AE9D,CAF5,95F3
1,E7A5A8,C9BC,955B
1,E8A8B3,CCF5,96F3
1,E8A696,BBEB,8E8B
1,E6BA80,CBFE,969E
1,E5BE93,BDBE,8F5D
1,E4BB95,BBC5,8E64
1,E7B994,BFA5,9044
1,EFBC81,A1AA,8149
1,E6AEB5,C3CA,9269
1,E8A180,B7EC,8C8C
1,E980B1,BDB5,8F54
1,E6B5A6,B1BA,8959
1,E7A5AD,BAD7,8DD5
1,E99D9E,C8F3,94F1
1,E6B1A0,C3D3,9272
1,E99FBF,B6C1,8BBF
1,E381BC,A4DC,82DA
1,E780AC,C0A5,90A3
1,E6A8B9,BCF9,8EF7
1,E5B7A6,BAB8,8DB6
1,EFBC8F,A1BF,815E
1,E9B9BF,BCAF,8EAD
1,E280BB,A2A8,81A6
1,E983B5,CDB9,9758
1,E280A6,A1C4,8163
1,E68E88,BCF8,8EF6
1,E8A197,B3B9,8A58
1,E581A5,B7F2,8C92
1,E6AF8E,CBE8,9688
1,E5A19A,C4CD,92CB
1,E9A086,BDE7,8F87
1,E6B7B1,BFBC,905B
1,E5819C,C4E4,92E2
1,E7AE97,BBBB,8E5A
1,E88FAF,B2DA,89D8
1,E5B9B8,B9AC,8D4B
1,E7A0B4,C7CB,946A
1,E7BEA4,B7B2,8C51
1,E7AF80,C0E1,90DF
1,E8A8BC,BEDA,8FD8
1,E8B2A1,BAE2,8DE0
1,E88BA5,BCE3,8EE1
1,E4BD95,B2BF,89BD
